time	V(n004)
1.292030059439240e-003	-4.819232e+000
1.292033571587101e-003	-4.814602e+000
1.292037706849321e-003	-4.802518e+000
1.292042911593795e-003	-4.778316e+000
1.292049318256595e-003	-4.735659e+000
1.292062131582196e-003	-4.625514e+000
1.292073848603716e-003	-4.505774e+000
1.292087204734495e-003	-4.352319e+000
1.292101924937624e-003	-4.172123e+000
1.292116870399549e-003	-3.982337e+000
1.292132456108039e-003	-3.780385e+000
1.292149692757762e-003	-3.554788e+000
1.292161487493194e-003	-3.399691e+000
1.292172112931169e-003	-3.259677e+000
1.292184308088592e-003	-3.098870e+000
1.292196232681663e-003	-2.941612e+000
1.292209280239590e-003	-2.769587e+000
1.292222533309988e-003	-2.594940e+000
1.292236965820274e-003	-2.404882e+000
1.292251807174821e-003	-2.209603e+000
1.292268211952960e-003	-1.993963e+000
1.292286601903373e-003	-1.752479e+000
1.292303166045316e-003	-1.535191e+000
1.292314947884567e-003	-1.380787e+000
1.292327858649071e-003	-1.211911e+000
1.292343700484681e-003	-1.006478e+000
1.292359127792365e-003	-8.133649e-001
1.292377040369856e-003	-6.085843e-001
1.292396087733537e-003	-4.239784e-001
1.292413283164858e-003	-2.943847e-001
1.292430239256414e-003	-2.036106e-001
1.292448869870704e-003	-1.379716e-001
1.292466048612514e-003	-1.008559e-001
1.292481194198798e-003	-8.186155e-002
1.292494013176098e-003	-7.235473e-002
1.292504188650191e-003	-6.755486e-002
1.292513784296488e-003	-6.434565e-002
1.292523637561504e-003	-6.170234e-002
1.292534158369719e-003	-5.917258e-002
1.292544581572434e-003	-5.669662e-002
1.292556406784952e-003	-5.373815e-002
1.292569637742730e-003	-5.015728e-002
1.292585855683989e-003	-4.544492e-002
1.292605918580841e-003	-3.945884e-002
1.292636459052601e-003	-3.069639e-002
1.292661031788205e-003	-2.443262e-002
1.292684880756049e-003	-1.943527e-002
1.292712615696153e-003	-1.489410e-002
1.292741814638872e-003	-1.130346e-002
1.292772795748849e-003	-8.507308e-003
1.292802572581830e-003	-6.519138e-003
1.292831939423341e-003	-5.043242e-003
1.292863000956531e-003	-3.840074e-003
1.292891437420096e-003	-2.981506e-003
1.292919793009691e-003	-2.320119e-003
1.292953744101760e-003	-1.725839e-003
1.292999423606995e-003	-1.103137e-003
1.293000000000000e-003	-1.096669e-003
1.293001152786011e-003	-1.085398e-003
1.293003458358032e-003	-1.063201e-003
1.293035736366333e-003	-8.038000e-004
1.293072625518677e-003	-5.900792e-004
1.293132330514623e-003	-3.502535e-004
1.293196850475071e-003	-1.919847e-004
1.293273129450660e-003	-9.120295e-005
1.293358658554417e-003	-3.563463e-005
1.293470551593511e-003	-4.835779e-006
1.293807679572904e-003	1.351122e-005
1.294000000000000e-003	1.441743e-005
1.294028427415758e-003	1.442145e-005
1.294085282247275e-003	1.442679e-005
1.294559889845137e-003	1.442827e-005
1.295034497442999e-003	1.442885e-005
1.295509105040861e-003	1.442852e-005
1.295983712638723e-003	1.442729e-005
1.296458320236585e-003	1.442516e-005
1.296932927834447e-003	1.442212e-005
1.297407535432309e-003	1.441818e-005
1.297803437489899e-003	1.441605e-005
1.298199339547488e-003	1.441390e-005
1.298595241605078e-003	1.441175e-005
1.298991143662668e-003	1.440959e-005
1.299387045720257e-003	1.440741e-005
1.299782947777847e-003	1.440523e-005
1.300178849835436e-003	1.440303e-005
1.300471718114568e-003	1.440140e-005
1.300764586393700e-003	1.439976e-005
1.301057454672831e-003	1.439812e-005
1.301350322951963e-003	1.439648e-005
1.301643191231094e-003	1.439482e-005
1.301936059510226e-003	1.439317e-005
1.302228927789358e-003	1.439150e-005
1.302495891798992e-003	1.438998e-005
1.302762855808625e-003	1.438845e-005
1.303029819818259e-003	1.438692e-005
1.303296783827892e-003	1.438539e-005
1.303563747837526e-003	1.438385e-005
1.303830711847159e-003	1.438231e-005
1.304097675856793e-003	1.438077e-005
1.304526579305823e-003	1.437826e-005
1.304955482754852e-003	1.437575e-005
1.305384386203882e-003	1.437323e-005
1.305813289652911e-003	1.437069e-005
1.306242193101941e-003	1.436815e-005
1.306671096550970e-003	1.436559e-005
1.307100000000000e-003	1.436302e-005
1.309064000000000e-003	1.435109e-005
1.311064000000000e-003	1.433867e-005
1.311494857142820e-003	1.433595e-005
1.311925714285640e-003	1.433323e-005
1.312356571428460e-003	1.433049e-005
1.312787428571281e-003	1.432774e-005
1.313218285714101e-003	1.432498e-005
1.313649142856921e-003	1.432220e-005
1.314079999999741e-003	1.431942e-005
1.314506285714774e-003	1.431664e-005
1.314932571429807e-003	1.431385e-005
1.315358857144840e-003	1.431105e-005
1.315785142859873e-003	1.430824e-005
1.316211428574906e-003	1.430542e-005
1.316637714289939e-003	1.430258e-005
1.317064000004972e-003	1.429974e-005
1.317483338575687e-003	1.429692e-005
1.317902677146402e-003	1.429408e-005
1.318322015717116e-003	1.429124e-005
1.318741354287831e-003	1.428838e-005
1.319160692858546e-003	1.428551e-005
1.319580031429261e-003	1.428263e-005
1.319999369999976e-003	1.427974e-005
1.319999389999976e-003	1.427974e-005
1.320000000000000e-003	1.427973e-005
1.320000000518420e-003	1.427973e-005
1.320000001555260e-003	1.427973e-005
1.320000003628940e-003	1.427973e-005
1.320000007776300e-003	1.427973e-005
1.320000010000000e-003	1.427973e-005
1.320000010134394e-003	1.427973e-005
1.320000010403182e-003	1.427973e-005
1.320000010940757e-003	1.427973e-005
1.320000012015908e-003	1.427973e-005
1.320000014166209e-003	1.427973e-005
1.320000018466812e-003	1.427973e-005
1.320000027068018e-003	1.427973e-005
1.320000040206293e-003	1.427975e-005
1.320000054977773e-003	1.427981e-005
1.320000070983077e-003	1.428003e-005
1.320000089251235e-003	1.428077e-005
1.320000118307755e-003	1.428324e-005
1.320000132979251e-003	1.428550e-005
1.320000147466561e-003	1.428905e-005
1.320000161839313e-003	1.429463e-005
1.320000190584818e-003	1.431048e-005
1.320000200670700e-003	1.431793e-005
1.320000210969410e-003	1.432767e-005
1.320000222794266e-003	1.434167e-005
1.320000245957074e-003	1.437664e-005
1.320000268432441e-003	1.441981e-005
1.320000289752282e-003	1.447030e-005
1.320000306989093e-003	1.451773e-005
1.320000324397311e-003	1.457035e-005
1.320000341878719e-003	1.462365e-005
1.320000376841535e-003	1.471400e-005
1.320000413380930e-003	1.474135e-005
1.320000464045322e-003	1.455571e-005
1.320000521278211e-003	1.377924e-005
1.320000602937921e-003	1.107612e-005
1.320000706926194e-003	4.130477e-006
1.320000831457806e-003	-1.041207e-005
1.320000968362141e-003	-3.533350e-005
1.320001127962892e-003	-7.664881e-005
1.320001304523221e-003	-1.377978e-004
1.320001510881801e-003	-2.316029e-004
1.320001815069678e-003	-4.079971e-004
1.320002115879181e-003	-6.254485e-004
1.320002442610477e-003	-9.119752e-004
1.320002749098839e-003	-1.228069e-003
1.320003070618915e-003	-1.612035e-003
1.320003457250672e-003	-2.142509e-003
1.320003928357582e-003	-2.881662e-003
1.320004419671761e-003	-3.757722e-003
1.320004917038999e-003	-4.756723e-003
1.320005436915166e-003	-5.929315e-003
1.320006145127540e-003	-7.729126e-003
1.320007052011850e-003	-1.035374e-002
1.320008272393285e-003	-1.442845e-002
1.320009838879853e-003	-2.053357e-002
1.320011979793064e-003	-3.037606e-002
1.320014912468543e-003	-4.645020e-002
1.320019272057215e-003	-7.526876e-002
1.320026183887242e-003	-1.302247e-001
1.320035844651318e-003	-2.211225e-001
1.320049800333365e-003	-3.706563e-001
1.320062971546468e-003	-5.248539e-001
1.320078121468557e-003	-7.122637e-001
1.320092313356495e-003	-8.930470e-001
1.320107708916001e-003	-1.092412e+000
1.320122384122262e-003	-1.284075e+000
1.320138492852576e-003	-1.495443e+000
1.320155909423369e-003	-1.724500e+000
1.320167370179245e-003	-1.875404e+000
1.320177459897682e-003	-2.008333e+000
1.320189163024654e-003	-2.162499e+000
1.320200504298354e-003	-2.311193e+000
1.320212919696815e-003	-2.470638e+000
1.320225340218657e-003	-2.621456e+000
1.320238622010785e-003	-2.766276e+000
1.320251782403237e-003	-2.887125e+000
1.320265448581490e-003	-2.985546e+000
1.320278816399464e-003	-3.054535e+000
1.320294348577300e-003	-3.104849e+000
1.320311754368443e-003	-3.133617e+000
1.320328514540949e-003	-3.142439e+000
1.320339438571603e-003	-3.140663e+000
1.320351541613223e-003	-3.134394e+000
1.320362739209087e-003	-3.127048e+000
1.320402465703918e-003	-3.102119e+000
1.320416494966000e-003	-3.095991e+000
1.320432341850996e-003	-3.090987e+000
1.320448644930894e-003	-3.087620e+000
1.320468644180100e-003	-3.085133e+000
1.320491164153963e-003	-3.083775e+000
1.320521194377651e-003	-3.082874e+000
1.320551224601339e-003	-3.081758e+000
1.320581254825027e-003	-3.080429e+000
1.320611285048716e-003	-3.078885e+000
1.320641315272404e-003	-3.077127e+000
1.320671345496092e-003	-3.075155e+000
1.320701375719781e-003	-3.072968e+000
1.320885731740275e-003	-3.061233e+000
1.320994530569802e-003	-3.054328e+000
1.321000000000000e-003	-3.053981e+000
1.321010938860397e-003	-3.053285e+000
1.321032816581190e-003	-3.051895e+000
1.321180986884811e-003	-3.042477e+000
1.321329157188432e-003	-3.033054e+000
1.321477327492053e-003	-3.023626e+000
1.321625497795674e-003	-3.014193e+000
1.321773668099295e-003	-3.004754e+000
1.321921838402916e-003	-2.995310e+000
1.322070008706538e-003	-2.985862e+000
1.324000000000000e-003	-2.862224e+000
1.324310293342455e-003	-2.842253e+000
1.324620586684910e-003	-2.822258e+000
1.324930880027366e-003	-2.802240e+000
1.325241173369821e-003	-2.782198e+000
1.325551466712276e-003	-2.762132e+000
1.325861760054731e-003	-2.742042e+000
1.326172053397186e-003	-2.721929e+000
1.327000000000000e-003	-2.668146e+000
1.328073409449466e-003	-2.598168e+000
1.329058727559573e-003	-2.533698e+000
1.330000000000000e-003	-2.471902e+000
1.331000000000000e-003	-2.406033e+000
1.332000010000000e-003	-2.339946e+000
1.332000010210394e-003	-2.339946e+000
1.332000010631182e-003	-2.339946e+000
1.332000011472759e-003	-2.339946e+000
1.332000013155912e-003	-2.339946e+000
1.332000016522217e-003	-2.339946e+000
1.332000020000001e-003	-2.339945e+000
1.332000020313229e-003	-2.339945e+000
1.332000020939685e-003	-2.339945e+000
1.332000022192598e-003	-2.339945e+000
1.332000024698423e-003	-2.339945e+000
1.332000029710073e-003	-2.339945e+000
1.332000039733373e-003	-2.339944e+000
1.332000059779974e-003	-2.339943e+000
1.332000094085491e-003	-2.339940e+000
1.332000126450655e-003	-2.339938e+000
1.332000170157081e-003	-2.339935e+000
1.332000200127134e-003	-2.339933e+000
1.332000235500288e-003	-2.339931e+000
1.332000262076168e-003	-2.339930e+000
1.332000278901903e-003	-2.339929e+000
1.332000298528165e-003	-2.339927e+000
1.332000331772120e-003	-2.339926e+000
1.332000349726267e-003	-2.339925e+000
1.332000378415569e-003	-2.339923e+000
1.332000435794174e-003	-2.339921e+000
1.332000550551384e-003	-2.339919e+000
1.332000776854926e-003	-2.339920e+000
1.332000787589847e-003	-2.339920e+000
1.332000851999372e-003	-2.339924e+000
1.332000937878738e-003	-2.339933e+000
1.332001109637469e-003	-2.339958e+000
1.332001270608361e-003	-2.339992e+000
1.332001388736597e-003	-2.340024e+000
1.332001460663182e-003	-2.340047e+000
1.332001536577324e-003	-2.340074e+000
1.332001579917399e-003	-2.340091e+000
1.332001614957937e-003	-2.340106e+000
1.332001652955888e-003	-2.340122e+000
1.332001706796501e-003	-2.340147e+000
1.332001814477729e-003	-2.340202e+000
1.332001998788794e-003	-2.340309e+000
1.332002194527510e-003	-2.340442e+000
1.332002492440252e-003	-2.340682e+000
1.332002814499030e-003	-2.340988e+000
1.332003153306740e-003	-2.341367e+000
1.332003580083686e-003	-2.341923e+000
1.332004019737418e-003	-2.342590e+000
1.332004618550606e-003	-2.343650e+000
1.332005322170495e-003	-2.345104e+000
1.332006226875879e-003	-2.347350e+000
1.332007905181346e-003	-2.352566e+000
1.332011102525982e-003	-2.365466e+000
1.332017497215255e-003	-2.397327e+000
1.332027883884202e-003	-2.452699e+000
1.332036019196666e-003	-2.491188e+000
1.332041768263926e-003	-2.510484e+000
1.332046635781309e-003	-2.518654e+000
1.332051892511664e-003	-2.518660e+000
1.332057177939975e-003	-2.509061e+000
1.332064454823301e-003	-2.480802e+000
1.332074259856977e-003	-2.419868e+000
1.332089052119351e-003	-2.294179e+000
1.332103997873106e-003	-2.139587e+000
1.332119604562717e-003	-1.958411e+000
1.332134709117396e-003	-1.773070e+000
1.332152370291942e-003	-1.551905e+000
1.332163981195233e-003	-1.407158e+000
1.332174776880790e-003	-1.275760e+000
1.332186937687243e-003	-1.133769e+000
1.332199057085257e-003	-1.000796e+000
1.332212120116631e-003	-8.693028e-001
1.332225602990208e-003	-7.480168e-001
1.332240131899151e-003	-6.345072e-001
1.332255279301563e-003	-5.347788e-001
1.332271978552907e-003	-4.452204e-001
1.332291098854067e-003	-3.631628e-001
1.332306689966511e-003	-3.093075e-001
1.332317680923973e-003	-2.782292e-001
1.332330265286107e-003	-2.483199e-001
1.332345817348307e-003	-2.167104e-001
1.332361018642177e-003	-1.903664e-001
1.332378567023753e-003	-1.644251e-001
1.332397148226158e-003	-1.410176e-001
1.332421773928745e-003	-1.151321e-001
1.332454097638215e-003	-8.766986e-002
1.332491069035601e-003	-6.356229e-002
1.332532854759323e-003	-4.387113e-002
1.332578641995276e-003	-2.896786e-002
1.332621542178865e-003	-1.956953e-002
1.332663083780399e-003	-1.343382e-002
1.332701614788469e-003	-9.499798e-003
1.332741087901064e-003	-6.670954e-003
1.332779507431828e-003	-4.699987e-003
1.332811918291900e-003	-3.485817e-003
1.332838991553658e-003	-2.727442e-003
1.332868152222038e-003	-2.099403e-003
1.332895449708766e-003	-1.647649e-003
1.332932043109771e-003	-1.197285e-003
1.332975251177581e-003	-8.012643e-004
1.333000000000000e-003	-6.248228e-004
1.333005485762729e-003	-5.955962e-004
1.333016457288187e-003	-5.410312e-004
1.333038400339103e-003	-4.479265e-004
1.333079521741523e-003	-3.172838e-004
1.333153522291011e-003	-1.643983e-004
1.333240549993895e-003	-5.684017e-005
1.333328185246378e-003	-1.818603e-005
1.333333333333335e-003	-1.671268e-005
1.333333848142031e-003	-1.657081e-005
1.333334877759422e-003	-1.628900e-005
1.333429895222362e-003	-3.907398e-006
1.333524912685301e-003	5.815995e-006
1.333619930148241e-003	1.288118e-005
