time	V(vin)	V(vout)	V(n004)
4.000001016867287e-005	4.648882e+000	-1.446253e+000	1.288411e-005
4.000001050601804e-005	4.648882e+000	-1.446253e+000	1.288411e-005
4.000001118070881e-005	4.648882e+000	-1.446253e+000	1.288411e-005
4.000001253009035e-005	4.648882e+000	-1.446253e+000	1.288411e-005
4.000001522885301e-005	4.648882e+000	-1.446253e+000	1.288411e-005
4.000002062637875e-005	4.648882e+000	-1.446253e+000	1.288411e-005
4.000003142142980e-005	4.648882e+000	-1.446253e+000	1.288411e-005
4.000004572504235e-005	4.648881e+000	-1.446253e+000	1.288414e-005
4.000006010900468e-005	4.648881e+000	-1.446253e+000	1.288425e-005
4.000007650536161e-005	4.648881e+000	-1.446253e+000	1.288459e-005
4.000009801800398e-005	4.648881e+000	-1.446253e+000	1.288555e-005
4.000010976980750e-005	4.648880e+000	-1.446254e+000	1.288650e-005
4.000012182681740e-005	4.648880e+000	-1.446254e+000	1.288802e-005
4.000013220724049e-005	4.648880e+000	-1.446254e+000	1.288988e-005
4.000014307207903e-005	4.648880e+000	-1.446254e+000	1.289264e-005
4.000015874175292e-005	4.648880e+000	-1.446254e+000	1.289895e-005
4.000019008110027e-005	4.648879e+000	-1.446254e+000	1.292332e-005
4.000024213777998e-005	4.648878e+000	-1.446254e+000	1.299036e-005
4.000026015041607e-005	4.648878e+000	-1.446254e+000	1.302473e-005
4.000027043773828e-005	4.648878e+000	-1.446254e+000	1.305051e-005
4.000027946701431e-005	4.648878e+000	-1.446254e+000	1.307673e-005
4.000028875246692e-005	4.648878e+000	-1.446254e+000	1.310799e-005
4.000030732337215e-005	4.648877e+000	-1.446254e+000	1.318152e-005
4.000032543188944e-005	4.648877e+000	-1.446254e+000	1.326953e-005
4.000035365006333e-005	4.648876e+000	-1.446254e+000	1.344826e-005
4.000039805569008e-005	4.648876e+000	-1.446254e+000	1.379195e-005
4.000040484947523e-005	4.648875e+000	-1.446255e+000	1.385413e-005
4.000041843704510e-005	4.648875e+000	-1.446255e+000	1.399680e-005
4.000044561218484e-005	4.648875e+000	-1.446255e+000	1.431522e-005
4.000048980895869e-005	4.648874e+000	-1.446255e+000	1.490191e-005
4.000053860607521e-005	4.648873e+000	-1.446255e+000	1.561819e-005
4.000059078204232e-005	4.648872e+000	-1.446255e+000	1.641502e-005
4.000064295088665e-005	4.648871e+000	-1.446255e+000	1.715482e-005
4.000070915447830e-005	4.648870e+000	-1.446256e+000	1.782674e-005
4.000079681160075e-005	4.648869e+000	-1.446256e+000	1.790665e-005
4.000090926791107e-005	4.648867e+000	-1.446256e+000	1.612070e-005
4.000103156744745e-005	4.648865e+000	-1.446257e+000	1.096569e-005
4.000116249985733e-005	4.648862e+000	-1.446257e+000	1.169505e-008
