time	V(vo)
1.206021370259298e-004	1.359927e-002
1.228900834545012e-004	1.359927e-002
1.251780298830727e-004	1.359927e-002
1.274659763116441e-004	1.359927e-002
1.297539227402156e-004	1.359927e-002
1.320418691687871e-004	1.359927e-002
1.343298155973586e-004	1.359927e-002
1.366177620259301e-004	1.359927e-002
1.389057084545016e-004	1.359927e-002
1.411936548830731e-004	1.359927e-002
1.434816013116445e-004	1.359927e-002
1.458253513116446e-004	1.359927e-002
1.481691013116447e-004	1.359927e-002
1.505128513116447e-004	1.359927e-002
1.528566013116448e-004	1.359927e-002
1.552003513116449e-004	1.359927e-002
1.575441013116449e-004	1.359927e-002
1.598878513116450e-004	1.359927e-002
1.621220651788326e-004	1.359927e-002
1.621320651788325e-004	6.997187e-002
1.621420651788325e-004	1.333252e+000
1.621520651788325e-004	3.730319e+000
1.621620651788325e-004	4.970639e+000
1.621678900973807e-004	4.999923e+000
1.621732237361462e-004	4.999985e+000
1.621780454136200e-004	4.999985e+000
1.621841703260736e-004	4.999985e+000
1.621846254568865e-004	4.999985e+000
1.621855357185122e-004	4.999985e+000
1.621873562417635e-004	4.999985e+000
1.621909972882662e-004	4.999985e+000
1.621982793812716e-004	4.999985e+000
1.622060629440593e-004	4.999985e+000
1.622209583257357e-004	4.999985e+000
1.622374960619729e-004	4.999985e+000
1.622579727501908e-004	4.999985e+000
1.622751714321996e-004	4.999985e+000
1.622917491441866e-004	4.999985e+000
1.623136207886260e-004	4.999985e+000
1.623381884901834e-004	4.999985e+000
1.623873238932982e-004	4.999985e+000
1.624394017854003e-004	4.999985e+000
1.625105821764769e-004	4.999985e+000
1.625887052239326e-004	4.999985e+000
1.627153698589943e-004	4.999985e+000
1.628899800079713e-004	4.999985e+000
1.651720114791077e-004	4.999985e+000
1.674540429502440e-004	4.999985e+000
1.697360744213804e-004	4.999985e+000
1.720181058925167e-004	4.999985e+000
1.743001373636531e-004	4.999985e+000
1.765821688347894e-004	4.999985e+000
1.788642003059258e-004	4.999985e+000
1.811521467344972e-004	4.999985e+000
1.834400931630688e-004	4.999985e+000
1.857280395916402e-004	4.999985e+000
1.880159860202117e-004	4.999985e+000
1.903039324487832e-004	4.999985e+000
1.925918788773547e-004	4.999985e+000
1.948798253059262e-004	4.999985e+000
1.972235753059263e-004	4.999985e+000
1.995673253059263e-004	4.999985e+000
2.019110753059264e-004	4.999985e+000
2.042548253059265e-004	4.999985e+000
2.065985753059265e-004	4.999985e+000
2.089423253059266e-004	4.999985e+000
2.112860753059267e-004	4.999985e+000
2.138708598518252e-004	4.999985e+000
2.138808598518252e-004	4.999985e+000
2.138908598518252e-004	4.999985e+000
2.139008598518252e-004	4.999985e+000
2.139108598518252e-004	4.999985e+000
2.139208598518251e-004	4.999985e+000
2.139266158203112e-004	4.999984e+000
2.139337593443628e-004	4.999979e+000
2.139346198087637e-004	4.999979e+000
2.139363407375654e-004	4.999969e+000
2.139397825951689e-004	4.998431e+000
2.139466663103759e-004	4.650776e+000
2.139545485169093e-004	3.379182e+000
2.139690266401580e-004	9.426586e-001
2.139853032582011e-004	1.404676e-002
2.140049750689874e-004	1.359927e-002
2.140227197059130e-004	1.359927e-002
2.140412530233354e-004	1.359927e-002
2.140735332990530e-004	1.359927e-002
2.140989487028234e-004	1.359927e-002
2.141274917102405e-004	1.359927e-002
2.141845777250748e-004	1.359927e-002
2.142494652334969e-004	1.359927e-002
2.143392225484467e-004	1.359927e-002
2.144458886686647e-004	1.359927e-002
2.146320295099367e-004	1.359927e-002
2.149307761276926e-004	1.359927e-002
2.172187225562641e-004	1.359927e-002
2.195066689848356e-004	1.359927e-002
2.217946154134071e-004	1.359927e-002
2.240825618419786e-004	1.359927e-002
2.263705082705501e-004	1.359927e-002
2.286584546991216e-004	1.359927e-002
2.309464011276931e-004	1.359927e-002
2.332343475562646e-004	1.359927e-002
2.355222939848361e-004	1.359927e-002
2.378102404134076e-004	1.359927e-002
2.400981868419791e-004	1.359927e-002
2.423861332705506e-004	1.359927e-002
2.446740796991220e-004	1.359927e-002
2.469620261276935e-004	1.359927e-002
2.493057761276936e-004	1.359927e-002
2.516495261276937e-004	1.359927e-002
2.539932761276937e-004	1.359927e-002
2.563370261276938e-004	1.359927e-002
2.586807761276939e-004	1.359927e-002
2.610245261276939e-004	1.359927e-002
2.633682761276940e-004	1.359927e-002
2.655958142746667e-004	1.359927e-002
2.656058142746667e-004	6.997187e-002
2.656158142746667e-004	1.333252e+000
2.656258142746667e-004	3.730319e+000
2.656358142746667e-004	4.960166e+000
2.656458142746667e-004	4.999934e+000
2.656515774217895e-004	4.999982e+000
2.656587565396222e-004	4.999985e+000
2.656596213925449e-004	4.999985e+000
2.656613510983902e-004	4.999985e+000
2.656648105100808e-004	4.999985e+000
2.656717293334620e-004	4.999985e+000
2.656796855338693e-004	4.999985e+000
2.656944287437899e-004	4.999985e+000
2.657108705907896e-004	4.999985e+000
2.657310172185626e-004	4.999985e+000
2.657479967265542e-004	4.999985e+000
2.657645201462711e-004	4.999985e+000
2.657864905762813e-004	4.999985e+000
2.658107243701525e-004	4.999985e+000
2.658591919578949e-004	4.999985e+000
2.659110905437844e-004	4.999985e+000
2.659816133909247e-004	4.999985e+000
2.660591418666481e-004	4.999985e+000
2.661837170053798e-004	4.999985e+000
2.663556319550711e-004	4.999985e+000
2.686363395041332e-004	4.999985e+000
2.709170470531953e-004	4.999985e+000
2.731977546022573e-004	4.999985e+000
2.754784621513194e-004	4.999985e+000
2.777591697003815e-004	4.999985e+000
2.800398772494435e-004	4.999985e+000
2.823205847985056e-004	4.999985e+000
2.846085312270771e-004	4.999985e+000
2.868964776556486e-004	4.999985e+000
2.891844240842201e-004	4.999985e+000
2.914723705127916e-004	4.999985e+000
2.937603169413631e-004	4.999985e+000
2.960482633699346e-004	4.999985e+000
2.983362097985061e-004	4.999985e+000
2.990616562270775e-004	4.999985e+000
2.997871026556489e-004	4.999985e+000
3.005125490842204e-004	4.999985e+000
3.012379955127919e-004	4.999985e+000
3.019634419413633e-004	4.999985e+000
3.026888883699348e-004	4.999985e+000
3.034143347985062e-004	4.999985e+000
3.038049597985062e-004	4.999985e+000
3.057397664914471e-004	4.999985e+000
3.076745731843880e-004	4.999985e+000
3.096093798773289e-004	4.999985e+000
3.115441865702698e-004	4.999985e+000
3.134789932632107e-004	4.999985e+000
3.154137999561516e-004	4.999985e+000
3.173486066490925e-004	4.999985e+000
3.173586066490925e-004	4.999985e+000
3.173686066490925e-004	4.999985e+000
3.173786066490925e-004	4.999985e+000
3.173886066490925e-004	4.999985e+000
3.173944325264193e-004	4.999985e+000
3.173998252963033e-004	4.999985e+000
3.174046760897444e-004	4.999985e+000
3.174107879004921e-004	4.999982e+000
3.174112347694980e-004	4.999981e+000
3.174121285075098e-004	4.999978e+000
3.174139159835334e-004	4.999949e+000
3.174174909355807e-004	4.998144e+000
3.174246408396752e-004	4.621681e+000
3.174324037367466e-004	3.354406e+000
3.174470312662114e-004	9.206461e-001
3.174634243964948e-004	1.392814e-002
3.174834841274251e-004	1.359927e-002
3.175014072748037e-004	1.359927e-002
3.175201043369985e-004	1.359927e-002
3.175513862414189e-004	1.359927e-002
3.175760571895579e-004	1.359927e-002
3.176044910303087e-004	1.359927e-002
3.176613587118103e-004	1.359927e-002
3.177262173633471e-004	1.359927e-002
3.178153201847145e-004	1.359927e-002
3.179215714076501e-004	1.359927e-002
3.181059201956180e-004	1.359927e-002
3.184021533541081e-004	1.359927e-002
3.206900997826796e-004	1.359927e-002
3.229780462112511e-004	1.359927e-002
3.252659926398225e-004	1.359927e-002
3.275539390683941e-004	1.359927e-002
3.298418854969656e-004	1.359927e-002
3.321298319255371e-004	1.359927e-002
3.344177783541085e-004	1.359927e-002
3.367057247826800e-004	1.359927e-002
3.389936712112515e-004	1.359927e-002
3.412816176398230e-004	1.359927e-002
3.435695640683945e-004	1.359927e-002
3.458575104969660e-004	1.359927e-002
3.481454569255375e-004	1.359927e-002
3.504334033541090e-004	1.359927e-002
3.527771533541091e-004	1.359927e-002
3.551209033541091e-004	1.359927e-002
3.574646533541092e-004	1.359927e-002
3.598084033541093e-004	1.359927e-002
3.621521533541093e-004	1.359927e-002
3.644959033541094e-004	1.359927e-002
3.668396533541095e-004	1.359927e-002
3.690738672212970e-004	1.359927e-002
3.690838672212970e-004	6.997187e-002
3.690938672212970e-004	1.333252e+000
3.691038672212970e-004	3.730319e+000
3.691138672212970e-004	4.970639e+000
3.691196921400460e-004	4.999923e+000
3.691250257788711e-004	4.999985e+000
3.691298474565968e-004	4.999985e+000
3.691359723690144e-004	4.999985e+000
3.691364274997825e-004	4.999985e+000
3.691373377613188e-004	4.999985e+000
3.691391582843913e-004	4.999985e+000
3.691427993305363e-004	4.999985e+000
3.691500814228262e-004	4.999985e+000
3.691578649857526e-004	4.999985e+000
3.691727603651173e-004	4.999985e+000
3.691892980996552e-004	4.999985e+000
3.692097747823447e-004	4.999985e+000
3.692269734619383e-004	4.999985e+000
3.692435511705740e-004	4.999985e+000
3.692654228208576e-004	4.999985e+000
3.692899905049842e-004	4.999985e+000
3.693391258732375e-004	4.999985e+000
3.693912037680492e-004	4.999985e+000
3.694623841346743e-004	4.999985e+000
3.695405071720861e-004	4.999985e+000
3.696671717240781e-004	4.999985e+000
3.698417818041134e-004	4.999985e+000
3.721238132555521e-004	4.999985e+000
3.744058447069908e-004	4.999985e+000
3.766878761584296e-004	4.999985e+000
3.789699076098683e-004	4.999985e+000
3.812519390613070e-004	4.999985e+000
3.835339705127457e-004	4.999985e+000
3.858160019641844e-004	4.999985e+000
3.877691269641845e-004	4.999985e+000
3.897222519641846e-004	4.999985e+000
3.916753769641846e-004	4.999985e+000
3.936285019641847e-004	4.999985e+000
3.955816269641847e-004	4.999985e+000
3.975347519641848e-004	4.999985e+000
3.994878769641848e-004	4.999985e+000
3.998785019641848e-004	4.999985e+000
4.000000000000000e-004	4.999985e+000
