time	V(sin32)	V(vout)
7.400863928155735e-005	-2.355018e+000	2.994987e+000
7.499999999999998e-005	-2.309516e+000	2.960541e+000
7.599999999999990e-005	-2.263077e+000	2.926202e+000
7.701203661659040e-005	-2.204041e+000	2.891866e+000
7.763441860214886e-005	-2.181946e+000	2.870956e+000
7.763442160214885e-005	-2.181946e+000	2.870956e+000
7.763442560214883e-005	-2.181946e+000	2.870956e+000
7.763442860214882e-005	-2.181946e+000	2.870956e+000
7.765244550194093e-005	-2.181306e+000	2.870353e+000
7.767046240173305e-005	-2.180667e+000	2.869750e+000
7.768847930152517e-005	-2.180027e+000	2.869148e+000
7.770649620131729e-005	-2.179387e+000	2.868545e+000
7.772451310110940e-005	-2.178748e+000	2.867943e+000
7.774253000090153e-005	-2.178108e+000	2.867340e+000
7.776054690069364e-005	-2.177469e+000	2.866738e+000
7.778034017493288e-005	-2.176766e+000	2.866077e+000
7.778103232317416e-005	-2.176741e+000	2.866054e+000
7.778143394109407e-005	-2.176727e+000	2.866040e+000
7.778223717693389e-005	-2.176699e+000	2.866014e+000
7.778244155945088e-005	-2.176691e+000	2.866007e+000
7.778262696571240e-005	-2.176685e+000	2.866000e+000
7.778270358339812e-005	-2.176682e+000	2.865998e+000
7.778277667094542e-005	-2.176679e+000	2.865995e+000
7.778285592473840e-005	-2.176677e+000	2.865993e+000
7.778301443232437e-005	-2.176671e+000	2.865988e+000
7.778333144749651e-005	-2.176660e+000	2.865977e+000
7.778776965990521e-005	-2.176502e+000	2.865829e+000
7.779284190265819e-005	-2.176322e+000	2.865659e+000
7.780298638816394e-005	-2.175962e+000	2.865320e+000
7.781866772389344e-005	-2.175405e+000	2.864797e+000
7.783559786909131e-005	-2.174804e+000	2.864231e+000
7.785533975300171e-005	-2.174103e+000	2.863572e+000
7.787870913267421e-005	-2.173274e+000	2.862792e+000
7.791691095923765e-005	-2.171918e+000	2.861518e+000
7.794902374487337e-005	-2.170778e+000	2.860447e+000
7.800362618471030e-005	-2.168795e+000	2.858627e+000
7.802538329297246e-005	-2.167756e+000	2.857902e+000
7.807519909702569e-005	-2.165376e+000	2.856243e+000
7.810888400610130e-005	-2.163767e+000	2.855122e+000
7.815862011581703e-005	-2.161392e+000	2.853467e+000
7.820938461494784e-005	-2.158967e+000	2.851779e+000
7.826778364806259e-005	-2.156178e+000	2.849839e+000
7.834148029328171e-005	-2.152658e+000	2.847393e+000
7.848887358372016e-005	-2.145617e+000	2.842507e+000
7.863135257701599e-005	-2.138812e+000	2.837793e+000
7.891631056360787e-005	-2.125201e+000	2.828383e+000
7.900000000000008e-005	-2.121204e+000	2.825624e+000
7.909688420733416e-005	-2.116542e+000	2.822437e+000
7.922606315044619e-005	-2.110327e+000	2.818194e+000
7.948442103667026e-005	-2.097896e+000	2.809729e+000
7.999999999999999e-005	-2.073088e+000	2.792892e+000
8.015044773791414e-005	-2.065916e+000	2.788005e+000
8.030089547582830e-005	-2.058666e+000	2.783124e+000
8.045134321374244e-005	-2.051336e+000	2.778251e+000
8.060179095165660e-005	-2.043928e+000	2.773385e+000
