time	V(sin32)	V(vout)
2.636382535773545e-005	1.643573e+000	1.019144e+000
2.640268922769816e-005	1.641567e+000	1.018338e+000
2.645046815633739e-005	1.639100e+000	1.017346e+000
2.650747308321675e-005	1.636157e+000	1.016164e+000
2.657463221608539e-005	1.632690e+000	1.014770e+000
2.665199531997958e-005	1.628696e+000	1.013165e+000
2.674631365687263e-005	1.623826e+000	1.011208e+000
2.686310348361492e-005	1.617797e+000	1.008785e+000
2.699999999999990e-005	1.610729e+000	1.005945e+000
2.701083007556173e-005	1.610026e+000	1.005720e+000
2.703249022668517e-005	1.608620e+000	1.005271e+000
2.802926435767437e-005	1.544651e+000	9.846073e-001
2.902130633586808e-005	1.505484e+000	9.640775e-001
2.931689937518800e-005	1.489807e+000	9.579693e-001
2.961249241450793e-005	1.474220e+000	9.518674e-001
2.990808545382785e-005	1.458724e+000	9.457718e-001
3.020367849314777e-005	1.443318e+000	9.396826e-001
3.049927153246769e-005	1.428004e+000	9.335997e-001
3.079486457178762e-005	1.412780e+000	9.275232e-001
3.109045761110754e-005	1.397647e+000	9.214530e-001
3.137406444606666e-005	1.387652e+000	9.156372e-001
3.165767128102578e-005	1.375895e+000	9.098303e-001
3.194127811598490e-005	1.362378e+000	9.040323e-001
3.222488495094403e-005	1.347098e+000	8.982432e-001
3.250849178590315e-005	1.330058e+000	8.924630e-001
3.279209862086227e-005	1.311256e+000	8.866917e-001
3.307570545582140e-005	1.290692e+000	8.809292e-001
3.353483847170015e-005	1.265409e+000	8.716211e-001
3.399397148757889e-005	1.240489e+000	8.623458e-001
3.445310450345764e-005	1.215932e+000	8.531033e-001
3.491223751933639e-005	1.191740e+000	8.438936e-001
3.537137053521515e-005	1.167910e+000	8.347167e-001
3.583050355109389e-005	1.144445e+000	8.255727e-001
3.628963656697264e-005	1.121342e+000	8.164614e-001
3.641072444169589e-005	1.117471e+000	8.140666e-001
3.653181231641913e-005	1.113066e+000	8.116744e-001
3.665290019114238e-005	1.108127e+000	8.092848e-001
3.677398806586563e-005	1.102656e+000	8.068979e-001
3.689507594058888e-005	1.096651e+000	8.045137e-001
3.701616381531212e-005	1.090112e+000	8.021322e-001
3.713725169003537e-005	1.083041e+000	7.997533e-001
3.732643551453547e-005	1.069247e+000	7.960432e-001
3.751561933903557e-005	1.056047e+000	7.923405e-001
3.770480316353566e-005	1.043441e+000	7.886453e-001
3.789398698803575e-005	1.031428e+000	7.849575e-001
3.808317081253585e-005	1.020010e+000	7.812771e-001
3.827235463703595e-005	1.009185e+000	7.776042e-001
3.846153846153604e-005	9.989550e-001	7.739388e-001
3.846153946153604e-005	9.989549e-001	7.739388e-001
3.846154146153603e-005	9.989548e-001	7.739387e-001
3.846154546153602e-005	9.989546e-001	7.739387e-001
3.846154846153600e-005	9.989544e-001	7.739386e-001
3.846154863020859e-005	9.989544e-001	7.739386e-001
3.846154896755397e-005	9.989544e-001	7.739386e-001
3.846154964224475e-005	9.989544e-001	7.739386e-001
3.846155099162607e-005	9.989543e-001	7.739385e-001
3.846155261518066e-005	9.989542e-001	7.739385e-001
3.846155431011457e-005	9.989541e-001	7.739385e-001
3.846155672332244e-005	9.989540e-001	7.739384e-001
3.846155923938597e-005	9.989538e-001	7.739384e-001
3.846156427151325e-005	9.989536e-001	7.739383e-001
3.846157433576780e-005	9.989530e-001	7.739381e-001
3.846158470174345e-005	9.989524e-001	7.739379e-001
3.846159434023897e-005	9.989519e-001	7.739377e-001
3.846160488200434e-005	9.989513e-001	7.739375e-001
3.846161598082282e-005	9.989507e-001	7.739373e-001
3.846163080958105e-005	9.989499e-001	7.739370e-001
3.846164864923442e-005	9.989489e-001	7.739366e-001
3.846167297249787e-005	9.989476e-001	7.739362e-001
3.846170632578892e-005	9.989458e-001	7.739356e-001
3.846175357454765e-005	9.989432e-001	7.739346e-001
3.846180512168422e-005	9.989403e-001	7.739336e-001
3.846182482287520e-005	9.989393e-001	7.739332e-001
3.846184139543775e-005	9.989384e-001	7.739329e-001
3.846185348957074e-005	9.989377e-001	7.739327e-001
3.846186639748354e-005	9.989370e-001	7.739325e-001
3.846188311495058e-005	9.989361e-001	7.739321e-001
3.846189933142600e-005	9.989352e-001	7.739318e-001
3.846192108662868e-005	9.989340e-001	7.739314e-001
3.846196073103384e-005	9.989319e-001	7.739306e-001
3.846202883156080e-005	9.989281e-001	7.739293e-001
